长臂复合弓,弓,50 ★,1,,染血弓背,1,云杉木材,1
工匠凉鞋,脚部防具,50 ★★★★,4,,工艺神半魔晶石壹型,1,白金块,1,硬化云杉木材,1,骏鹰革,2,速干密封剂,3
黑檀木材,木材,50 ★★★★,4,,黑檀原木,2,硼砂,9
海滨四柱床,家具,50 ★★★★,4,,黑檀木材,2,云杉木材,4,钨钢锭,2,秘银锭,2,呢绒,4
林间四柱床,家具,50 ★★★★,4,,黑檀木材,2,云杉木材,4,羊绒布,2,呢绒,4,羊毛线,2
绿洲四柱床,家具,50 ★★★★,4,,黑檀木材,2,云杉木材,4,黄金锭,2,翡翠硬玉,2,呢绒,4
收藏柜,家具,50 ★★★★,4,,黑檀木材,5,钨钢锭,2,清漆,4
理符柜台,桌台,50 ★★★★,4,,黑檀木材,3,云杉木材,3,贝拉哈迪亚玻璃,3,玻璃板,3,翡翠硬玉,3
纳尔札尔教团讲台,桌台,50 ★★★★,4,,黑檀木材,6,苔角,2,火眼石,2,青铜锭,4,薰衣草油,4
铁刀木角材,木材,60 ★,1,,铁刀木木材,1,星极油,1,晓光灵砂,1
吧椅,家具,60 ★,1,,星桦木木材,1,暗栗木木材,1,玄钢铆钉,1,清漆,1
破魔箭,杂货,60 ★,1,,受祝箭羽,1,祝圣栗木木材,1,硬银块,1
孤儿院的日用品部件,杂货,60 ★,1,,日用品部件的材料,1
孤儿院的日用品,杂货,60 ★,1,,孤儿院的日用品部件,4
东方风格的收藏品部件,杂货,60 ★,1,,东方风格的收藏品部件材料,1
东方风格的收藏品,杂货,60 ★,1,,东方风格的收藏品部件,2
白色木墙,内墙,60 ★,1,,星桦木木材,5,切石,4,花岗岩,3
白色木地板,地板,60 ★,1,,星桦木木材,5,切石,4,花岗岩,3
莫古莫古吊灯,屋顶照明,60 ★,1,,莫古力的王冠,3,兽脂蜡烛,6,桦木木材,3,奇美纤维,2,匠心半魔晶石贰型,4
武神风扇灯,屋顶照明,60 ★,1,,罗波那魔翅,1,兽脂蜡烛,4,桦木木材,3,皇金块,2,匠心半魔晶石叁型,5
戈耳狄写字台,桌台,60 ★,1,,戈耳狄齿轮,2,桦木木材,5,精金块,2,皇金块,2,亚拉戈魔触媒,2
吧台,桌台,60 ★,1,,星桦木木材,3,暗栗木木材,3,玄钢铆钉,2,清漆,2
招财宝,桌上,60 ★,1,,东方小判金币,3,桦木木材,3,天蚕绢布,3,星红石,5,皇金块,2
发条推车,宠物,60 ★,1,,金属发条,1,金属轴承,1,桦木木材,3,釉质坚果,1,晓光灵砂,1
无尽云神长弓,弓,60 ★★,2,,光银锭,1,硬化樟木木材,3,荒神钢锭,1,俾斯麦魔角,1,武备半魔晶石叁型,5
偃武长弓,弓,60 ★★,2,,光银锭,1,硬化樟木木材,3,荒神钢锭,1,罗波那魔翅,1,武备半魔晶石叁型,5
无尽云神游击枪,长枪,60 ★★,2,,光银锭,2,硬化樟木木材,2,荒神钢锭,1,俾斯麦魔角,1,武备半魔晶石叁型,5
偃武长枪,长枪,60 ★★,2,,光银锭,2,硬化樟木木材,2,荒神钢锭,1,罗波那魔翅,1,武备半魔晶石叁型,5
无尽云神牧杖,双手幻杖,60 ★★,2,,光银锭,1,硬化樟木木材,3,荒神钢锭,1,俾斯麦魔角,1,武备半魔晶石叁型,5
偃武牧杖,双手幻杖,60 ★★,2,,光银锭,1,硬化樟木木材,3,荒神钢锭,1,罗波那魔翅,1,武备半魔晶石叁型,5
金云母砂轮机,雕金工具（副工具）,60 ★★,2,,星桦木木材,2,皇金锭,1,金云母,2,大地灵砂,2,匠心半魔晶石叁型,3
星桦木纺车,裁衣工具（副工具）,60 ★★,2,,星桦木木材,3,精金铆钉,3,大地灵砂,2,匠心半魔晶石叁型,3
星桦木项链,项链,60 ★★,2,,星桦木木材,2,清漆,1,大海灵砂,1,匠心半魔晶石叁型,2
星桦木腕环,手镯,60 ★★,2,,星桦木木材,2,清漆,1,大树灵砂,1,匠心半魔晶石叁型,2
星桦木指环,戒指,60 ★★,2,,星桦木木材,1,清漆,1,大树灵砂,1,匠心半魔晶石叁型,1
星桦木木材,木材,60 ★★,2,,桦木木材,2,灵木树液块,5,星极油,1
樟木木材,木材,60 ★★,2,,樟木原木,3
玛哈之棺,家具,60 ★★,2,,棺材板,1,祝圣栗木木材,2,圣虹布,1,呢绒,1,碧企鹅绵毛,1,亚拉戈魔触媒,1
管弦乐琴,家具,60 ★★,2,,铁刀木角材,1,桦木木材,3,紫檀木材,3,黄金锭,1,鳞胶,1
添水,庭具,60 ★★,2,,竹材,3,粉砂岩,10,切石,3,星砂砾,5,睡莲花苗,1
戈耳狄零式写字台,桌台,60 ★★,2,,戈耳狄大齿轮,2,星桦木木材,3,桦木木材,2,精金块,2,皇金块,2,亚拉戈魔触媒,3
软糊怪圆桌,桌台,60 ★★,2,,八面硼砂,2,软糊怪肉,6,桦木木材,2
豪华舞台,桌台,60 ★★,2,,星桦木木材,2,桦木木材,4,钨钢锭,4,清漆,4
3级水族箱,桌上,60 ★★,2,,星桦木木材,5,硬银锭,4,强化玻璃板,1,硅化木,1,星砂砾,4,终结油灰,2
野马级飞空艇模型,桌上,60 ★★,2,,樟木木材,4,玄钢锭,2,蛟蜥革,1,亚麻帆布,2,黑铁铆钉,2,清漆,2
无敌级飞空艇模型,桌上,60 ★★,2,,樟木木材,4,玄钢锭,2,加隆德钢,1,绿金锭,1,白钢铆钉,2,清漆,2
企业级飞空艇模型,桌上,60 ★★,2,,樟木木材,4,钨钢锭,2,加隆德钢,1,致远帆布,1,钴铁铆钉,2,清漆,2
无敌改级飞空艇模型,桌上,60 ★★,2,,樟木木材,4,灵银锭,2,加隆德钢,1,玫瑰金锭,1,苍天石,1,清漆,2
奥德赛级飞空艇模型,桌上,60 ★★,2,,樟木木材,4,古神木材,1,加隆德钢,1,致远帆布,1,苍天石,1,清漆,2
塔塔诺拉级飞空艇模型,桌上,60 ★★,2,,樟木木材,4,铁刀木木材,1,加隆德钢,1,亚拉戈高位合成兽革,1,苍天石,1,清漆,2
威尔特甘斯级飞空艇模型,桌上,60 ★★,2,,樟木木材,4,铁刀木角材,1,超硬加隆德钢,1,致远帆布,1,苍天石,1,星极油,1
圆桌之弓,弓,60 ★★★,3,,光银锭,1,硬化樟木木材,3,白金锭,3,光流纤维,3,武备半魔晶石叁型,5
生命之弓,弓,60 ★★★,3,,光银锭,1,硬化樟木木材,3,荒神钢锭,1,萨菲洛特魔液,1,武备半魔晶石叁型,5
邪龙怨影弓,弓,60 ★★★,3,,光银锭,1,硬化樟木木材,3,荒神钢锭,1,邪龙之鳞,1,半水晶,5
神圣女神之弓,弓,60 ★★★,3,,硬化樟木木材,3,光银锭,1,荒神钢锭,1,女神宝珠碎片,1,半水晶,5
无限鬼神之弓,弓,60 ★★★,3,,光银锭,1,硬化樟木木材,3,荒神钢锭,1,鬼神甲壳碎片,1,半水晶,5
圆桌之戟,长枪,60 ★★★,3,,光银锭,2,硬化樟木木材,2,白金锭,3,光流纤维,3,武备半魔晶石叁型,5
生命之戟,长枪,60 ★★★,3,,光银锭,2,硬化樟木木材,2,荒神钢锭,1,萨菲洛特魔液,1,武备半魔晶石叁型,5
邪龙怨影长枪,长枪,60 ★★★,3,,光银锭,2,硬化樟木木材,2,荒神钢锭,1,邪龙之鳞,1,半水晶,5
神圣女神之戟,长枪,60 ★★★,3,,硬化樟木木材,1,光银锭,2,荒神钢锭,2,女神宝珠碎片,1,半水晶,5
无限鬼神之戟,长枪,60 ★★★,3,,光银锭,2,荒神钢锭,2,硬化樟木木材,1,鬼神甲壳碎片,1,半水晶,5
圆桌之幻杖,双手幻杖,60 ★★★,3,,荒神钢锭,1,硬化樟木木材,3,白金锭,3,光流纤维,3,武备半魔晶石叁型,5
生命之幻杖,双手幻杖,60 ★★★,3,,光银锭,1,硬化樟木木材,3,荒神钢锭,1,萨菲洛特魔液,1,武备半魔晶石叁型,5
樟木御敌项链,项链,60 ★★★,3,,硬化樟木木材,2,蛋白石,2,1级耐力炼金溶剂,1
樟木强攻项链,项链,60 ★★★,3,,硬化樟木木材,2,蛋白石,2,1级刚力炼金溶剂,1
樟木精准项链,项链,60 ★★★,3,,硬化樟木木材,2,蛋白石,2,1级巧力炼金溶剂,1
樟木治愈项链,项链,60 ★★★,3,,硬化樟木木材,2,蛋白石,2,1级意力炼金溶剂,1
樟木咏咒项链,项链,60 ★★★,3,,硬化樟木木材,2,蛋白石,2,1级智力炼金溶剂,1
樟木御敌腕环,手镯,60 ★★★,3,,硬化樟木木材,1,荒神钢锭,1,蛋白石,2,1级耐力炼金溶剂,1
樟木强攻腕环,手镯,60 ★★★,3,,硬化樟木木材,1,荒神钢锭,1,蛋白石,2,1级刚力炼金溶剂,1
樟木精准腕环,手镯,60 ★★★,3,,硬化樟木木材,1,荒神钢锭,1,蛋白石,2,1级巧力炼金溶剂,1
樟木治愈腕环,手镯,60 ★★★,3,,硬化樟木木材,1,荒神钢锭,1,蛋白石,2,1级意力炼金溶剂,1
樟木咏咒腕环,手镯,60 ★★★,3,,硬化樟木木材,1,荒神钢锭,1,蛋白石,2,1级智力炼金溶剂,1
硬化樟木木材,木材,60 ★★★,3,,樟木古树,3,硼砂,2,哥布林树脂,2
面包置物架,家具,60 ★★★,3,,樟木木材,5,玄钢铆钉,2,伊修加德松饼,3,凯撒面包,3,蜂蜜松饼,5,胡桃面包,5
东方木桥,庭具,60 ★★★,3,,硬化樟木木材,6,古神木材,8,钴铁钉,8,花岗岩,4,清漆,6,匠心半魔晶石贰型,4
苍穹骑士圆桌,桌台,60 ★★★,3,,硬化樟木木材,6,大理石,9,皇金锭,3,白金锭,3
3级画框,壁挂,60 ★★★,3,,硬化樟木木材,4,古神木材,4,星极油,4,亚麻帆布,4
荒神砂轮机,雕金工具（副工具）,60 ★★★,3,,光流纤维,3,硬化樟木木材,2,荒神钢锭,1,钨钢锭,1,黄金锭,1,工艺神半魔晶石壹型,1
樟木纺车,裁衣工具（副工具）,60 ★★★,3,,光流纤维,3,硬化樟木木材,3,钨钢锭,1,黄金锭,1,工艺神半魔晶石壹型,1
光流钓竿,捕鱼用具（主工具）,60 ★★★,3,,光流纤维,3,硬化樟木木材,3,光银锭,1,钨钢锭,1,黄金锭,1,工艺神半魔晶石壹型,1
加隆德大地项链,项链,60 ★★★,3,,光流纤维,1,硬化樟木木材,1,荒神革,1,荒神纤维,1,匠心半魔晶石叁型,1
加隆德巧匠项链,项链,60 ★★★,3,,光流纤维,1,硬化樟木木材,1,荒神革,1,荒神纤维,1,匠心半魔晶石叁型,1
加隆德大地腕环,手镯,60 ★★★,3,,光流纤维,1,硬化樟木木材,1,荒神革,1,苍天石,2,匠心半魔晶石叁型,1
加隆德巧匠腕环,手镯,60 ★★★,3,,光流纤维,1,硬化樟木木材,1,荒神革,1,苍天石,2,匠心半魔晶石叁型,1
柚木复合弓,弓,60 ★★★★,4,,柚木木材,3,闪烁锭,2,羊绒布,2,武备半魔晶石叁型,4,半水晶,5
重合金骑枪,长枪,60 ★★★★,4,,重合金锭,2,柚木木材,2,闪烁锭,1,蛟蜥革,2,武备半魔晶石叁型,4,半水晶,5
柚木牧杖,双手幻杖,60 ★★★★,4,,柚木木材,3,闪烁锭,2,红玉髓,1,武备半魔晶石叁型,4,半水晶,5
柚木御敌项环,项链,60 ★★★★,4,,柚木木材,1,星绒,1,黄金锭,1,钻石,1,3级耐力炼金溶剂,1
柚木强攻项环,项链,60 ★★★★,4,,柚木木材,1,星绒,1,黄金锭,1,钻石,1,3级刚力炼金溶剂,1
柚木精准项环,项链,60 ★★★★,4,,柚木木材,1,星绒,1,黄金锭,1,钻石,1,3级巧力炼金溶剂,1
柚木治愈项环,项链,60 ★★★★,4,,柚木木材,1,星绒,1,黄金锭,1,钻石,1,3级意力炼金溶剂,1
柚木咏咒项环,项链,60 ★★★★,4,,柚木木材,1,星绒,1,黄金锭,1,钻石,1,3级智力炼金溶剂,1
柚木御敌手镯,手镯,60 ★★★★,4,,柚木木材,1,星绒,1,黄金锭,1,钻石,1,3级耐力炼金溶剂,1
柚木强攻手镯,手镯,60 ★★★★,4,,柚木木材,1,星绒,1,黄金锭,1,钻石,1,3级刚力炼金溶剂,1
柚木精准手镯,手镯,60 ★★★★,4,,柚木木材,1,星绒,1,黄金锭,1,钻石,1,3级巧力炼金溶剂,1
柚木治愈手镯,手镯,60 ★★★★,4,,柚木木材,1,星绒,1,黄金锭,1,钻石,1,3级意力炼金溶剂,1
柚木咏咒手镯,手镯,60 ★★★★,4,,柚木木材,1,星绒,1,黄金锭,1,钻石,1,3级智力炼金溶剂,1
柚木木材,木材,60 ★★★★,4,,柚木原木,3,哥布林喷漆,2,硼砂,9
4级水族箱,桌上,60 ★★★★,4,,柚木木材,6,光银锭,2,强化玻璃板,2,硅化木,2,星砂砾,8,终结油灰,2
东洋清洁工具,桌上,60 ★★★★,4,,柚木木材,1,扫帚草,1,竹材,1,棉布,1
柳杉木材,木材,70 ★,1,,柳杉原木,3,树汁块,9
新菜肴必需品,杂货,70 ★,1,,新菜肴必需品的材料,1
仿制圆窗,壁挂,70 ★,1,,榧木木材,3,水晶板,3
仿制方窗,壁挂,70 ★,1,,榧木木材,3,白钢连接板,3,玻璃板,3
榧木长弓,弓,70 ★★,2,,榧木木材,2,铬铁锭,2,瞪羚革,1,玉丝,1,丰饶灵砂,3,2级巧力之灵水,3
月读命幽夜大弓,弓,70 ★★,2,,榧木木材,3,铬铁锭,2,榉木木材,2,月读绸缎,1,半水晶,5
青君大弓,弓,70 ★★,2,,榧木木材,3,真狮鹫革,2,钼钢锭,2,青龙之鳞,1,半水晶,5
白帝琵琶弓,弓,70 ★★,2,,榧木木材,3,铬铁锭,2,钼钢锭,2,白虎鬃毛,1,半水晶,5
铬铁长枪,长枪,70 ★★,2,,铬铁锭,2,榧木木材,2,钼钢锭,1,丰饶灵砂,3,2级刚力之灵水,3
神龙梦幻长枪,长枪,70 ★★,2,,榧木木材,3,铬铁锭,2,钼钢锭,2,神龙之鳞,1,半水晶,5
白帝长枪,长枪,70 ★★,2,,榧木木材,3,铬铁锭,2,钼钢锭,2,白虎鬃毛,1,半水晶,5
月读命幽夜咒杖,双手咒杖,70 ★★,2,,榧木木材,3,钯金锭,2,蔷薇辉石,2,月读绸缎,1,半水晶,5
榧木牧杖,双手幻杖,70 ★★,2,,榧木木材,3,钯金锭,1,翠银锭,1,丰饶灵砂,3,2级意力之灵水,3
神龙梦幻锡杖,双手幻杖,70 ★★,2,,榧木木材,3,铬铁锭,2,钯金块,2,神龙之鳞,1,半水晶,5
月读命幽夜锡杖,双手幻杖,70 ★★,2,,榧木木材,3,纻布,2,钼钢锭,2,月读绸缎,1,半水晶,5
朱焰锡杖,双手幻杖,70 ★★,2,,榧木木材,3,钯金锭,2,榉木木材,2,朱雀的尾部羽毛,1,半水晶,5
阿拉米格钓竿,捕鱼用具（主工具）,70 ★★,2,,狮子鱼油,3,榧木木材,1,瞪羚革,1,深渊灵砂,1,工艺神半魔晶石壹型,3
榧木御敌项环,项链,70 ★★,2,,榧木木材,1,真狮鹫革,1,钯金块,1,星尖石,1,悠久灵砂,1,2级耐力之灵水,1
榧木强攻项环,项链,70 ★★,2,,榧木木材,1,真狮鹫革,1,钯金块,1,星尖石,1,悠久灵砂,1,2级刚力之灵水,1
榧木精准项环,项链,70 ★★,2,,榧木木材,1,真狮鹫革,1,钯金块,1,星尖石,1,悠久灵砂,1,2级巧力之灵水,1
榧木治愈项环,项链,70 ★★,2,,榧木木材,1,真狮鹫革,1,钯金块,1,星尖石,1,悠久灵砂,1,2级意力之灵水,1
榧木咏咒项环,项链,70 ★★,2,,榧木木材,1,真狮鹫革,1,钯金块,1,星尖石,1,悠久灵砂,1,2级智力之灵水,1
榧木御敌手镯,手镯,70 ★★,2,,榧木木材,1,真狮鹫革,1,钯金块,1,星尖石,1,丰饶灵砂,1,2级耐力之灵水,1
榧木强攻手镯,手镯,70 ★★,2,,榧木木材,1,真狮鹫革,1,钯金块,1,星尖石,1,丰饶灵砂,1,2级刚力之灵水,1
榧木精准手镯,手镯,70 ★★,2,,榧木木材,1,真狮鹫革,1,钯金块,1,星尖石,1,丰饶灵砂,1,2级巧力之灵水,1
榧木治愈手镯,手镯,70 ★★,2,,榧木木材,1,真狮鹫革,1,钯金块,1,星尖石,1,丰饶灵砂,1,2级意力之灵水,1
榧木咏咒手镯,手镯,70 ★★,2,,榧木木材,1,真狮鹫革,1,钯金块,1,星尖石,1,丰饶灵砂,1,2级智力之灵水,1
榧木木材,木材,70 ★★,2,,榧木原木,4,朱漆,2
莫古力睡床,家具,70 ★★,2,,莫古力的王冠,1,黑柳木材,4,玉绸,3,玉丝,2,水鸟之羽,4
獭獭屏风,家具,70 ★★,2,,天之松材,1,黑柳木材,3,卸铁锭,2,强化玻璃板,2
獭獭椅子,家具,70 ★★,2,,天之松材,1,黑柳木材,3,白铜锭,2,猛虎革,1,红玉棉线,2
东洋温泉,庭具,70 ★★,2,,榧木木材,5,卸铁锭,3,黑石灰岩,10,白钢连接板,2
獭獭长椅,庭具,70 ★★,2,,天之松材,1,黑柳木材,3,卸铁锭,3,雪松木材,2,灰汁,2,兽脂蜡烛,2
推车柜台,桌台,70 ★★,2,,榧木木材,4,卸铁锭,2,赤麻布,2,钴铁连接板,3
獭獭餐桌,桌台,70 ★★,2,,天之松材,1,黑柳木材,3,卸铁锭,4
